Note Name,MIDI Note,Velocity
A5,81,127
A5,81,127
A5,81,127
A5,81,127
A5,81,127
A5,81,127
A5,81,127
A5,81,127
A5,81,127
A5,81,127
A5,81,127
A5,81,127
A5,81,127
A5,81,127
A5,81,127
A#5,82,127
A#5,82,127
A#5,82,127
A#5,82,127
A#5,82,127
A#5,82,127
A#5,82,127
A#5,82,127
A#5,82,127
A#5,82,127
A#5,82,127
A#5,82,127
A#5,82,127
A#5,82,127
A#5,82,127
A#5,82,127
A#5,82,127
B5,83,127
B5,83,127
B5,83,127
B5,83,127
B5,83,127
B5,83,127
B5,83,127
B5,83,127
B5,83,127
B5,83,127
B5,83,127
B5,83,127
B5,83,127
B5,83,127
B5,83,127
B5,83,127
B5,83,127
C6,84,127
C6,84,127
C6,84,127
C6,84,127
C6,84,127
C6,84,127
C6,84,127
C6,84,127
C6,84,127
C6,84,127
C6,84,127
C6,84,127
C6,84,127
C6,84,127
C6,84,127
C6,84,127
C6,84,127
C#6,85,127
C#6,85,127
C#6,85,127
C#6,85,127
C#6,85,127
C#6,85,127
C#6,85,127
C#6,85,127
C#6,85,127
C#6,85,127
C#6,85,127
C#6,85,127
C#6,85,127
C#6,85,127
C#6,85,127
C#6,85,127
C#6,85,127
D6,86,127
D6,86,127
D6,86,127
D6,86,127
D6,86,127
D6,86,127
D6,86,127
D6,86,127
D6,86,127
D6,86,127
D6,86,127
D6,86,127
D6,86,127
D6,86,127
D6,86,127
D6,86,127
D6,86,127
D#6,87,127
D#6,87,127
D#6,87,127
D#6,87,127
D#6,87,127
D#6,87,127
D#6,87,127
D#6,87,127
D#6,87,127
D#6,87,127
D#6,87,127
D#6,87,127
D#6,87,127
D#6,87,127
D#6,87,127
D#6,87,127
D#6,87,127
E6,88,127
E6,88,127
E6,88,127
E6,88,127
E6,88,127
E6,88,127
E6,88,127
E6,88,127
E6,88,127
E6,88,127
E6,88,127
E6,88,127
E6,88,127
E6,88,127
E6,88,127
E6,88,127
E6,88,127
F6,89,127
F6,89,127
F6,89,127
F6,89,127
F6,89,127
F6,89,127
F6,89,127
F6,89,127
F6,89,127
F6,89,127
F6,89,127
F6,89,127
F6,89,127
F6,89,127
F6,89,127
F6,89,127
F6,89,127
F#6,90,127
F#6,90,127
F#6,90,127
F#6,90,127
F#6,90,127
F#6,90,127
F#6,90,127
F#6,90,127
F#6,90,127
F#6,90,127
F#6,90,127
F#6,90,127
F#6,90,127
F#6,90,127
F#6,90,127
F#6,90,127
F#6,90,127
G6,91,127
G6,91,127
G6,91,127
G6,91,127
G6,91,127
G6,91,127
G6,91,127
G6,91,127
G6,91,127
G6,91,127
G6,91,127
G6,91,127
G6,91,127
G6,91,127
G6,91,127
G6,91,127
G6,91,127
G#6,92,127
G#6,92,127
G#6,92,127
G#6,92,127
G#6,92,127
G#6,92,127
G#6,92,127
G#6,92,127
G#6,92,127
